tab	rmag_anisotropy
er_specimen_name	er_sample_name	er_site_name	anisotropy_type	anisotropy_n	anisotropy_description	anisotropy_s1	anisotropy_s2	anisotropy_s3	anisotropy_s4	anisotropy_s5	anisotropy_s6	anisotropy_sigma	anisotropy_alt	magic_experiment_names	magic_method_codes	rmag_anisotropy_name
su101801d	su101801	su1l504	ATRM	6.000000	Hext statistics adapted to ATRM	0.328175	0.337955	0.333870	0.002814	0.005009	-0.002447	0.015670	2.78	su101801d:ATRM	LP-AN-TRM:AE-H	su101801d
su101801e	su101801	su1l504	ATRM	6.000000	Hext statistics adapted to ATRM	0.327792	0.337009	0.335199	0.012257	0.004769	0.003797	0.007642	1.46	su101801e:ATRM	LP-AN-TRM:AE-H	su101801e
su101801b	su101801	su1l504	ATRM	6.000000	Hext statistics adapted to ATRM	0.341738	0.327748	0.330514	-0.004206	0.009209	-0.004308	0.005308	0.55	su101801b:ATRM	LP-AN-TRM:AE-H	su101801b
su101801c	su101801	su1l504	ATRM	6.000000	Hext statistics adapted to ATRM	0.335064	0.327967	0.336970	-0.001286	0.006225	0.000170	0.017174	0.40	su101801c:ATRM	LP-AN-TRM:AE-H	su101801c
su101801a	su101801	su1l504	ATRM	6.000000	Hext statistics adapted to ATRM	0.329001	0.332749	0.338250	-0.001387	0.005520	-0.005054	0.015071	1.07	su101801a:ATRM	LP-AN-TRM:AE-H	su101801a
su111601h	su111601	su1l404	ATRM	6.000000	Hext statistics adapted to ATRM	0.326776	0.336414	0.336810	0.044806	-0.011928	0.018650	0.031320	4.28	su111601h:ATRM	LP-AN-TRM:AE-H	su111601h
su111601h	su111601	su1l404	AARM	9.000000	Hext statistics adapted to AARM	0.315102	0.353756	0.331143	0.042252	0.001618	0.012976	0.018227		su111601h:AARM	LP-AN-ARM:AE-H	su111601h
su102501b	su102501	su1l504	ATRM	6.000000	Hext statistics adapted to ATRM	0.339206	0.330661	0.330132	0.014952	0.008303	0.010796	0.021675	3.90	su102501b:ATRM	LP-AN-TRM:AE-H	su102501b
su102501c	su102501	su1l504	ATRM	6.000000	Hext statistics adapted to ATRM	0.317082	0.338944	0.343974	-0.000581	-0.005221	0.003100	0.006874	1.07	su102501c:ATRM	LP-AN-TRM:AE-H	su102501c
su102501a	su102501	su1l504	ATRM	6.000000	Hext statistics adapted to ATRM	0.349333	0.352685	0.297982	0.015175	0.007378	0.007148	0.011428	5.15	su102501a:ATRM	LP-AN-TRM:AE-H	su102501a
su102501g	su102501	su1l504	ATRM	6.000000	Hext statistics adapted to ATRM	0.342706	0.325249	0.332044	-0.011306	0.030322	0.016227	0.007583	2.05	su102501g:ATRM	LP-AN-TRM:AE-H	su102501g
su109702b	su109702	su1l204	ATRM	6.000000	Hext statistics adapted to ATRM	0.378621	0.383657	0.237722	0.021173	0.044029	-0.032290	0.006284	4.88	su109702b:ATRM	LP-AN-TRM:AE-H	su109702b
su109702c	su109702	su1l204	ATRM	6.000000	Hext statistics adapted to ATRM	0.335511	0.336010	0.328479	0.064780	-0.090007	0.068363	0.011557	5.81	su109702c:ATRM	LP-AN-TRM:AE-H	su109702c
su109702a	su109702	su1l204	ATRM	6.000000	Hext statistics adapted to ATRM	0.250942	0.393185	0.355872	-0.009127	-0.005784	-0.072390	0.011544	5.37	su109702a:ATRM	LP-AN-TRM:AE-H	su109702a
su109702f	su109702	su1l204	ATRM	6.000000	Hext statistics adapted to ATRM	0.341106	0.394571	0.264323	0.004920	0.019661	-0.098098	0.007926	3.80	su109702f:ATRM	LP-AN-TRM:AE-H	su109702f
su109702d	su109702	su1l204	ATRM	6.000000	Hext statistics adapted to ATRM	0.371046	0.307304	0.321649	-0.005988	-0.055692	-0.019181	0.015770	3.60	su109702d:ATRM	LP-AN-TRM:AE-H	su109702d
su109702e	su109702	su1l204	ATRM	6.000000	Hext statistics adapted to ATRM	0.288849	0.330953	0.380198	-0.091336	-0.033050	-0.029438	0.006675	1.68	su109702e:ATRM	LP-AN-TRM:AE-H	su109702e
su100501a	su100501	su1l003	ATRM	6.000000	Hext statistics adapted to ATRM	0.419991	0.169900	0.410109	0.046853	0.005759	0.000836	0.017427	7.08	su100501a:ATRM	LP-AN-TRM:AE-H	su100501a
su100501a	su100501	su1l003	AARM	9.000000	Hext statistics adapted to AARM	0.378541	0.245941	0.375518	0.024808	-0.002714	-0.000194	0.010359		su100501a:AARM	LP-AN-ARM:AE-H	su100501a
su100501b	su100501	su1l003	ATRM	6.000000	Hext statistics adapted to ATRM	0.295385	0.400151	0.304464	-0.022713	0.075596	-0.048185	0.009411	2.27	su100501b:ATRM	LP-AN-TRM:AE-H	su100501b
su100501c	su100501	su1l003	ATRM	6.000000	Hext statistics adapted to ATRM	0.280727	0.289923	0.429350	0.014050	-0.025159	-0.040127	0.008670	4.90	su100501c:ATRM	LP-AN-TRM:AE-H	su100501c
su100501d	su100501	su1l003	ATRM	6.000000	Hext statistics adapted to ATRM	0.294008	0.394887	0.311105	0.030638	-0.043468	0.116923	0.011538	3.97	su100501d:ATRM	LP-AN-TRM:AE-H	su100501d
su100501d	su100501	su1l003	AARM	9.000000	Hext statistics adapted to AARM	0.295561	0.384727	0.319712	0.013710	-0.021747	0.068812	0.011365		su100501d:AARM	LP-AN-ARM:AE-H	su100501d
su100501e	su100501	su1l003	ATRM	6.000000	Hext statistics adapted to ATRM	0.330512	0.295540	0.373947	0.119818	0.085223	-0.083502	0.009830	6.43	su100501e:ATRM	LP-AN-TRM:AE-H	su100501e
su100501e	su100501	su1l003	AARM	9.000000	Hext statistics adapted to AARM	0.338711	0.314741	0.346548	0.054301	0.051064	-0.054887	0.015217		su100501e:AARM	LP-AN-ARM:AE-H	su100501e
su100501f	su100501	su1l003	ATRM	6.000000	Hext statistics adapted to ATRM	0.378315	0.415587	0.206098	-0.016393	0.017373	0.085761	0.038496	25.28	su100501f:ATRM	LP-AN-TRM:AE-H	su100501f
su100501g	su100501	su1l003	ATRM	6.000000	Hext statistics adapted to ATRM	0.386102	0.309724	0.304174	0.079002	-0.064520	0.103716	0.048225	13.11	su100501g:ATRM	LP-AN-TRM:AE-H	su100501g
su100902e	su100902	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.293172	0.338582	0.368246	0.070780	0.016041	-0.030216	0.014141	5.24	su100902e:ATRM	LP-AN-TRM:AE-H	su100902e
su100902d	su100902	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.345561	0.375663	0.278776	0.014961	-0.063227	0.014835	0.006384	1.69	su100902d:ATRM	LP-AN-TRM:AE-H	su100902d
su100902g	su100902	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.397483	0.298903	0.303613	-0.016807	-0.124434	-0.022422	0.011065	5.32	su100902g:ATRM	LP-AN-TRM:AE-H	su100902g
su100902f	su100902	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.322481	0.288441	0.389078	-0.042520	-0.045291	-0.031948	0.008690	3.36	su100902f:ATRM	LP-AN-TRM:AE-H	su100902f
su100902a	su100902	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.419916	0.262453	0.317631	0.031500	0.020645	0.024315	0.012040	1.68	su100902a:ATRM	LP-AN-TRM:AE-H	su100902a
su100902c	su100902	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.280287	0.302270	0.417443	-0.033904	-0.032897	0.059818	0.010241	8.31	su100902c:ATRM	LP-AN-TRM:AE-H	su100902c
su100902b	su100902	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.438623	0.186149	0.375228	0.021543	0.044064	0.018114	0.011847	5.89	su100902b:ATRM	LP-AN-TRM:AE-H	su100902b
su111601c	su111601	su1l404	ATRM	6.000000	Hext statistics adapted to ATRM	0.302853	0.339577	0.357571	0.007394	0.019990	0.027394	0.010722	5.77	su111601c:ATRM	LP-AN-TRM:AE-H	su111601c
su107101h	su107101	su1l102	ATRM	6.000000	Hext statistics adapted to ATRM	0.351738	0.290803	0.357459	-0.053573	-0.088469	-0.058141	0.013755	11.58	su107101h:ATRM	LP-AN-TRM:AE-H	su107101h
su107101c	su107101	su1l102	ATRM	6.000000	Hext statistics adapted to ATRM	0.340287	0.310608	0.349105	0.028903	-0.012591	0.007021	0.011982	3.59	su107101c:ATRM	LP-AN-TRM:AE-H	su107101c
su107101b	su107101	su1l102	ATRM	6.000000	Hext statistics adapted to ATRM	0.331352	0.332801	0.335848	-0.009467	0.010230	0.006056	0.011007	4.30	su107101b:ATRM	LP-AN-TRM:AE-H	su107101b
su107101b	su107101	su1l102	AARM	9.000000	Hext statistics adapted to AARM	0.337110	0.339241	0.323649	-0.015543	0.005823	-0.005353	0.015016		su107101b:AARM	LP-AN-ARM:AE-H	su107101b
su107101a	su107101	su1l102	ATRM	6.000000	Hext statistics adapted to ATRM	0.341590	0.358205	0.300205	0.020686	0.016605	-0.015121	0.009224	2.87	su107101a:ATRM	LP-AN-TRM:AE-H	su107101a
su101201d	su101201	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.332088	0.328194	0.339718	-0.006080	0.011804	0.017409	0.005981	2.51	su101201d:ATRM	LP-AN-TRM:AE-H	su101201d
su101201e	su101201	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.309239	0.332485	0.358275	-0.004822	0.020210	-0.020969	0.008700	3.73	su101201e:ATRM	LP-AN-TRM:AE-H	su101201e
su101201f	su101201	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.357540	0.334266	0.308194	0.004556	-0.002791	0.001528	0.024677	15.91	su101201f:ATRM	LP-AN-TRM:AE-H	su101201f
su101201f	su101201	su1l005	AARM	9.000000	Hext statistics adapted to AARM	0.365606	0.317068	0.317327	0.003505	0.004638	-0.004489	0.013788		su101201f:AARM	LP-AN-ARM:AE-H	su101201f
su109001b	su109001	su1l512	ATRM	6.000000	Hext statistics adapted to ATRM	0.317499	0.328226	0.354275	0.041890	0.028840	-0.016652	0.009188	6.91	su109001b:ATRM	LP-AN-TRM:AE-H	su109001b
su109001c	su109001	su1l512	ATRM	6.000000	Hext statistics adapted to ATRM	0.337949	0.328568	0.333483	0.010878	-0.008079	0.009262	0.010388	4.51	su109001c:ATRM	LP-AN-TRM:AE-H	su109001c
su109001a	su109001	su1l512	ATRM	6.000000	Hext statistics adapted to ATRM	0.325189	0.353532	0.321279	-0.004531	0.003932	0.015116	0.015604	3.10	su109001a:ATRM	LP-AN-TRM:AE-H	su109001a
su100202d	su100202	su1l001	ATRM	6.000000	Hext statistics adapted to ATRM	0.278002	0.343586	0.378412	0.160286	0.003102	-0.010280	0.040573	8.60	su100202d:ATRM	LP-AN-TRM:AE-H	su100202d
su100202e	su100202	su1l001	ATRM	6.000000	Hext statistics adapted to ATRM	0.319788	0.333841	0.346371	0.011818	0.006192	0.008332	0.014340	7.49	su100202e:ATRM	LP-AN-TRM:AE-H	su100202e
su100202a	su100202	su1l001	AARM	9.000000	Hext statistics adapted to AARM	0.350959	0.325302	0.323739	0.009654	0.001902	-0.003861	0.016187		su100202a:AARM	LP-AN-ARM:AE-H	su100202a
su100202b	su100202	su1l001	AARM	9.000000	Hext statistics adapted to AARM	0.345194	0.331378	0.323427	0.018867	-0.000127	-0.004954	0.021051		su100202b:AARM	LP-AN-ARM:AE-H	su100202b
su109801a	su109801	su1l301	ATRM	6.000000	Hext statistics adapted to ATRM	0.289290	0.391846	0.318864	-0.005863	-0.011077	-0.041097	0.009960	1.55	su109801a:ATRM	LP-AN-TRM:AE-H	su109801a
su110701d	su110701	su1l403	ATRM	6.000000	Hext statistics adapted to ATRM	0.304135	0.369048	0.326817	-0.013239	0.008157	0.041265	0.005960	1.54	su110701d:ATRM	LP-AN-TRM:AE-H	su110701d
su110701d	su110701	su1l403	AARM	9.000000	Hext statistics adapted to AARM	0.320474	0.353377	0.326149	0.003466	0.006868	0.018107	0.011972		su110701d:AARM	LP-AN-ARM:AE-H	su110701d
su110701g	su110701	su1l403	ATRM	6.000000	Hext statistics adapted to ATRM	0.410620	0.198263	0.391117	0.052152	-0.043949	-0.010493	0.007480	1.44	su110701g:ATRM	LP-AN-TRM:AE-H	su110701g
su110701g	su110701	su1l403	AARM	9.000000	Hext statistics adapted to AARM	0.378754	0.239574	0.381672	0.021971	-0.040346	-0.012641	0.019416		su110701g:AARM	LP-AN-ARM:AE-H	su110701g
su110701a	su110701	su1l403	ATRM	6.000000	Hext statistics adapted to ATRM	0.330276	0.335441	0.334283	0.013178	0.014984	0.001795	0.011858	2.74	su110701a:ATRM	LP-AN-TRM:AE-H	su110701a
su110701b	su110701	su1l403	ATRM	6.000000	Hext statistics adapted to ATRM	0.355599	0.379225	0.265176	0.016917	-0.037200	0.051664	0.009412	3.98	su110701b:ATRM	LP-AN-TRM:AE-H	su110701b
su110701e	su110701	su1l403	ATRM	6.000000	Hext statistics adapted to ATRM	0.300154	0.360201	0.339645	-0.055044	-0.007183	0.022511	0.011222	2.14	su110701e:ATRM	LP-AN-TRM:AE-H	su110701e
su109102a	su109102	su1l200	ATRM	6.000000	Hext statistics adapted to ATRM	0.336942	0.326997	0.336061	0.004843	-0.004499	-0.008930	0.010211	5.77	su109102a:ATRM	LP-AN-TRM:AE-H	su109102a
su109102b	su109102	su1l200	ATRM	6.000000	Hext statistics adapted to ATRM	0.334614	0.328567	0.336819	-0.000422	0.010524	0.004554	0.013758	4.77	su109102b:ATRM	LP-AN-TRM:AE-H	su109102b
su103201b	su103201	su1l506	ATRM	6.000000	Hext statistics adapted to ATRM	0.338473	0.294518	0.367008	-0.082265	0.055711	0.051956	0.007683	2.08	su103201b:ATRM	LP-AN-TRM:AE-H	su103201b
su103201c	su103201	su1l506	ATRM	6.000000	Hext statistics adapted to ATRM	0.296029	0.320926	0.383046	0.081135	0.040549	-0.037358	0.014004	5.68	su103201c:ATRM	LP-AN-TRM:AE-H	su103201c
su103201e	su103201	su1l506	AARM	9.000000	Hext statistics adapted to AARM	0.332591	0.331655	0.335754	0.001993	0.007523	-0.007897	0.013235		su103201e:AARM	LP-AN-ARM:AE-H	su103201e
su101001f	su101001	su1l003	ATRM	6.000000	Hext statistics adapted to ATRM	0.196487	0.413482	0.390031	0.005027	-0.004453	-0.079885	0.012320	3.78	su101001f:ATRM	LP-AN-TRM:AE-H	su101001f
su110301d	su110301	su1l300	ATRM	6.000000	Hext statistics adapted to ATRM	0.324624	0.335971	0.339405	0.006445	-0.001280	0.010029	0.008343	3.91	su110301d:ATRM	LP-AN-TRM:AE-H	su110301d
su110301f	su110301	su1l300	ATRM	6.000000	Hext statistics adapted to ATRM	0.317721	0.355594	0.326684	0.012448	-0.018411	0.016336	0.012072	3.98	su110301f:ATRM	LP-AN-TRM:AE-H	su110301f
su101001c	su101001	su1l003	ATRM	6.000000	Hext statistics adapted to ATRM	0.257620	0.337351	0.405028	0.120617	0.032064	-0.066863	0.009758	3.84	su101001c:ATRM	LP-AN-TRM:AE-H	su101001c
su110301b	su110301	su1l300	ATRM	6.000000	Hext statistics adapted to ATRM	0.339114	0.325684	0.335202	0.002303	-0.005576	-0.003151	0.007706	2.19	su110301b:ATRM	LP-AN-TRM:AE-H	su110301b
su110301e	su110301	su1l300	ATRM	6.000000	Hext statistics adapted to ATRM	0.305090	0.351601	0.343309	0.039402	-0.043862	0.040028	0.014920	3.62	su110301e:ATRM	LP-AN-TRM:AE-H	su110301e
su105301f	su105301	su1l501	ATRM	6.000000	Hext statistics adapted to ATRM	0.390141	0.289179	0.320680	-0.014486	0.082997	0.010071	0.006441	1.40	su105301f:ATRM	LP-AN-TRM:AE-H	su105301f
su105301f	su105301	su1l501	AARM	9.000000	Hext statistics adapted to AARM	0.361032	0.308240	0.330728	-0.007867	0.055910	0.003886	0.018012		su105301f:AARM	LP-AN-ARM:AE-H	su105301f
su100902i	su100902	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.280000	0.375323	0.344676	0.023412	-0.052451	-0.043263	0.006726	2.78	su100902i:ATRM	LP-AN-TRM:AE-H	su100902i
su100902h	su100902	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.310936	0.365571	0.323493	0.050775	0.027933	-0.090485	0.052960	19.02	su100902h:ATRM	LP-AN-TRM:AE-H	su100902h
su100601a	su100601	su1l003	ATRM	6.000000	Hext statistics adapted to ATRM	0.317980	0.329329	0.352691	0.031540	0.017024	0.012335	0.009206	2.33	su100601a:ATRM	LP-AN-TRM:AE-H	su100601a
su105301g	su105301	su1l501	ATRM	6.000000	Hext statistics adapted to ATRM	0.355182	0.345336	0.299482	0.026858	-0.038503	0.055195	0.007930	3.37	su105301g:ATRM	LP-AN-TRM:AE-H	su105301g
su105301g	su105301	su1l501	AARM	9.000000	Hext statistics adapted to AARM	0.354349	0.346474	0.299177	0.023183	-0.025765	0.035551	0.018829		su105301g:AARM	LP-AN-ARM:AE-H	su105301g
su100601c	su100601	su1l003	ATRM	6.000000	Hext statistics adapted to ATRM	0.337364	0.335491	0.327145	-0.008207	-0.019515	-0.015189	0.013108	1.19	su100601c:ATRM	LP-AN-TRM:AE-H	su100601c
su100601g	su100601	su1l003	ATRM	6.000000	Hext statistics adapted to ATRM	0.331522	0.342175	0.326303	0.003075	-0.019710	0.029595	0.011120	5.92	su100601g:ATRM	LP-AN-TRM:AE-H	su100601g
su100601f	su100601	su1l003	AARM	9.000000	Hext statistics adapted to AARM	0.343015	0.326108	0.330877	0.003465	0.004701	-0.002952	0.013276		su100601f:AARM	LP-AN-ARM:AE-H	su100601f
su110801a	su110801	su1l403	ATRM	6.000000	Hext statistics adapted to ATRM	0.372554	0.285699	0.341746	0.004056	-0.035256	0.024930	0.012863	4.99	su110801a:ATRM	LP-AN-TRM:AE-H	su110801a
su110801b	su110801	su1l403	ATRM	6.000000	Hext statistics adapted to ATRM	0.358257	0.301838	0.339904	-0.018232	0.012586	-0.003499	0.011511	1.96	su110801b:ATRM	LP-AN-TRM:AE-H	su110801b
su110801c	su110801	su1l403	ATRM	6.000000	Hext statistics adapted to ATRM	0.330003	0.380980	0.289017	0.030078	0.035792	0.022733	0.011681	3.60	su110801c:ATRM	LP-AN-TRM:AE-H	su110801c
su105301c	su105301	su1l501	ATRM	6.000000	Hext statistics adapted to ATRM	0.343020	0.366652	0.290328	0.016221	0.022449	0.035083	0.008656	2.54	su105301c:ATRM	LP-AN-TRM:AE-H	su105301c
su105301c	su105301	su1l501	AARM	9.000000	Hext statistics adapted to AARM	0.332017	0.364638	0.303345	-0.008056	0.018737	0.011007	0.015829		su105301c:AARM	LP-AN-ARM:AE-H	su105301c
su110402a	su110402	su1l300	ATRM	6.000000	Hext statistics adapted to ATRM	0.360921	0.333519	0.305560	-0.022802	-0.017205	-0.018845	0.010876	3.66	su110402a:ATRM	LP-AN-TRM:AE-H	su110402a
su111601a	su111601	su1l404	ATRM	6.000000	Hext statistics adapted to ATRM	0.384172	0.365694	0.250134	0.002246	0.059602	-0.016113	0.009809	4.91	su111601a:ATRM	LP-AN-TRM:AE-H	su111601a
su110402b	su110402	su1l300	ATRM	6.000000	Hext statistics adapted to ATRM	0.366457	0.285456	0.348087	-0.021604	-0.051081	-0.025413	0.009529	2.04	su110402b:ATRM	LP-AN-TRM:AE-H	su110402b
su111601g	su111601	su1l404	ATRM	6.000000	Hext statistics adapted to ATRM	0.331119	0.364777	0.304103	0.010497	-0.029742	0.027885	0.017889	3.71	su111601g:ATRM	LP-AN-TRM:AE-H	su111601g
su105301a	su105301	su1l501	ATRM	6.000000	Hext statistics adapted to ATRM	0.351062	0.297452	0.351486	-0.004274	-0.001014	-0.005597	0.008028	3.43	su105301a:ATRM	LP-AN-TRM:AE-H	su105301a
su105301a	su105301	su1l501	AARM	9.000000	Hext statistics adapted to AARM	0.342009	0.329629	0.328363	-0.004792	-0.000699	-0.002698	0.014704		su105301a:AARM	LP-AN-ARM:AE-H	su105301a
su107201d	su107201	su1l102	ATRM	6.000000	Hext statistics adapted to ATRM	0.346140	0.289407	0.364453	0.026386	-0.035523	0.047599	0.010366	5.31	su107201d:ATRM	LP-AN-TRM:AE-H	su107201d
su107201e	su107201	su1l102	ATRM	6.000000	Hext statistics adapted to ATRM	0.389196	0.314843	0.295961	-0.010408	0.062676	-0.001302	0.010632	5.22	su107201e:ATRM	LP-AN-TRM:AE-H	su107201e
su107201e	su107201	su1l102	AARM	9.000000	Hext statistics adapted to AARM	0.369762	0.329879	0.300360	-0.007719	0.020986	-0.002060	0.017546		su107201e:AARM	LP-AN-ARM:AE-H	su107201e
su107201b	su107201	su1l102	ATRM	6.000000	Hext statistics adapted to ATRM	0.325078	0.345167	0.329755	0.006799	-0.034474	0.031802	0.012524	1.47	su107201b:ATRM	LP-AN-TRM:AE-H	su107201b
su107201a	su107201	su1l102	ATRM	6.000000	Hext statistics adapted to ATRM	0.251463	0.324229	0.424308	0.004366	-0.011174	-0.020718	0.007286	3.04	su107201a:ATRM	LP-AN-TRM:AE-H	su107201a
su100901d	su100901	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.291646	0.352223	0.356131	0.014132	0.024759	0.007652	0.017455	12.53	su100901d:ATRM	LP-AN-TRM:AE-H	su100901d
su100901e	su100901	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.253693	0.308828	0.437480	-0.141303	0.031307	0.030299	0.011087	4.98	su100901e:ATRM	LP-AN-TRM:AE-H	su100901e
su100901f	su100901	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.334955	0.332313	0.332732	-0.002011	0.017669	-0.006525	0.009089	4.57	su100901f:ATRM	LP-AN-TRM:AE-H	su100901f
su100901g	su100901	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.349335	0.303387	0.347278	0.026937	-0.006891	0.006914	0.010624	7.35	su100901g:ATRM	LP-AN-TRM:AE-H	su100901g
su100901b	su100901	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.316428	0.322271	0.361301	-0.020675	0.040026	0.011227	0.006322	2.57	su100901b:ATRM	LP-AN-TRM:AE-H	su100901b
su100901c	su100901	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.396859	0.326670	0.276470	0.036341	0.051214	-0.013828	0.010052	3.19	su100901c:ATRM	LP-AN-TRM:AE-H	su100901c
su100901h	su100901	su1l005	ATRM	6.000000	Hext statistics adapted to ATRM	0.358025	0.332595	0.309380	-0.020211	-0.005619	-0.002283	0.020112	11.43	su100901h:ATRM	LP-AN-TRM:AE-H	su100901h
su109302f	su109302	su1l202	ATRM	6.000000	Hext statistics adapted to ATRM	0.350555	0.331520	0.317925	-0.000040	-0.021936	-0.007092	0.009818	2.35	su109302f:ATRM	LP-AN-TRM:AE-H	su109302f
su101001g	su101001	su1l003	ATRM	6.000000	Hext statistics adapted to ATRM	0.368932	0.435606	0.195462	-0.008773	0.099428	0.058831	0.051042	6.56	su101001g:ATRM	LP-AN-TRM:AE-H	su101001g
su109302e	su109302	su1l202	ATRM	6.000000	Hext statistics adapted to ATRM	0.314364	0.337055	0.348580	0.011239	0.004700	-0.011920	0.010419	6.18	su109302e:ATRM	LP-AN-TRM:AE-H	su109302e
su110301a	su110301	su1l300	ATRM	6.000000	Hext statistics adapted to ATRM	0.366604	0.268709	0.364687	0.009288	-0.017506	-0.001257	0.011644	0.57	su110301a:ATRM	LP-AN-TRM:AE-H	su110301a
su109302c	su109302	su1l202	ATRM	6.000000	Hext statistics adapted to ATRM	0.340630	0.359498	0.299872	-0.000277	0.015616	0.004535	0.009410	5.91	su109302c:ATRM	LP-AN-TRM:AE-H	su109302c
su109302a	su109302	su1l202	ATRM	6.000000	Hext statistics adapted to ATRM	0.351802	0.341563	0.306635	0.019241	-0.017836	0.017988	0.015391	4.97	su109302a:ATRM	LP-AN-TRM:AE-H	su109302a
