tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	McMurdo	mc205e	mc205	mc205e1	mc205e1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	5.000e-03	T		A	u	0.2	303.9		l	-34.1	1.8	13	-1
	This study	McMurdo	mc205h	mc205	mc205h1	mc205h1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFL	pmagpy-2.154	8.730e+02	4.730e+02	K		A	u	3.0	303.7		l	-26.2	3.7	10	-1
	This study	McMurdo	mc205h	mc205	mc205h2	mc205h2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	2.000e-02	T		A	u	0.6	305.0		l	-27.1	1.5	10	-1
	This study	McMurdo	mc205i	mc205	mc205i2	mc205i2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFL	pmagpy-2.154	8.730e+02	6.730e+02	K		A	u	4.3	307.1		l	-23.9	6.0	7	-1
	This study	McMurdo	mc205k	mc205	mc205k1	mc205k1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.730e+02	3.730e+02	K		A	u	90.0	40.0		p	-4.7	3.4	11	-1
	This study	McMurdo	mc206a	mc206	mc206a1	mc206a1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	1.000e-02	T		A	u	0.5	311.0		l	14.9	1.2	12	-1
	This study	McMurdo	mc206b	mc206	mc206b1	mc206b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.730e+02	2.730e+02	K		A	u	90.0	213.7		p	-2.2	2.2	12	-1
	This study	McMurdo	mc206c	mc206	mc206c1	mc206c1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.730e+02	4.730e+02	K		A	u	90.0	216.6		p	3.1	3.0	10	-1
	This study	McMurdo	mc206d	mc206	mc206d1	mc206d1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFL	pmagpy-2.154	8.730e+02	4.730e+02	K		A	u	3.1	323.8		l	32.5	3.6	10	-1
	This study	McMurdo	mc206e	mc206	mc206e1	mc206e1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFL	pmagpy-2.154	8.730e+02	4.730e+02	K		A	u	2.7	318.5		l	36.1	2.9	10	-1
	This study	McMurdo	mc206f	mc206	mc206f1	mc206f1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFL	pmagpy-2.154	8.730e+02	4.730e+02	K		A	u	3.7	300.6		l	-13.2	3.0	10	-1
	This study	McMurdo	mc206g	mc206	mc206g1	mc206g1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	2.000e-02	T		A	u	0.1	299.2		l	-10.3	1.3	10	-1
	This study	McMurdo	mc206h	mc206	mc206h1	mc206h1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	1.000e-02	T		A	u	0.7	291.4		l	-19.4	1.3	11	-1
	This study	McMurdo	mc206i	mc206	mc206i1	mc206i1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	1.500e-02	T		A	u	0.5	293.2		l	-17.5	1.0	11	-1
	This study	McMurdo	mc206k	mc206	mc206k1	mc206k1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	1.500e-02	T		A	u	0.8	294.7		l	2.6	0.9	11	-1
	This study	McMurdo	mc207a	mc207	mc207a1	mc207a1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	6.000e-02	5.000e-03	T		A	u	1.6	345.9		l	-23.7	1.2	8	-1
	This study	McMurdo	mc207d	mc207	mc207d1	mc207d1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	5.000e-03	T		A	u	1.3	345.2		l	-26.2	1.1	10	-1
	This study	McMurdo	mc207g	mc207	mc207g2	mc207g2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	8.000e-02	5.000e-03	T		A	u	1.2	331.3		l	-62.0	1.2	9	-1
	This study	McMurdo	mc207h	mc207	mc207h2	mc207h2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	8.000e-02	2.000e-02	T		A	u	3.1	331.7		l	-22.2	3.7	6	-1
	This study	McMurdo	mc207k	mc207	mc207k2	mc207k2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	8.000e-02	2.000e-02	T		A	u	1.6	344.8		l	-17.1	2.6	6	-1
	This study	McMurdo	mc208a	mc208	mc208a1	mc208a1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.500e-01	5.000e-03	T		A	u	2.1	357.4		l	-35.1	2.3	12	-1
	This study	McMurdo	mc208b	mc208	mc208b1	mc208b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.730e+02	3.730e+02	K		A	u	90.0	266.1		p	-2.9	4.5	11	-1
	This study	McMurdo	mc208c	mc208	mc208c2	mc208c2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	5.000e-03	T		A	u	2.6	350.1		l	-29.4	1.6	10	-1
	This study	McMurdo	mc208d	mc208	mc208d2	mc208d2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	1.000e-02	T		A	u	2.1	342.7		l	-44.9	1.0	9	-1
	This study	McMurdo	mc208e	mc208	mc208e2	mc208e2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	1.500e-02	T		A	u	2.6	350.6		l	-43.1	1.6	8	-1
	This study	McMurdo	mc208f	mc208	mc208f2	mc208f2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.500e-01	1.500e-02	T		A	u	2.3	345.5		l	-33.4	2.0	10	-1
	This study	McMurdo	mc209a	mc209	mc209a1	mc209a1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	8.000e-02	1.000e-02	T		A	u	0.2	348.5		l	-0.1	0.5	8	-1
	This study	McMurdo	mc209b	mc209	mc209b1	mc209b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.730e+02	6.230e+02	K		A	u	90.0	259.5		p	1.6	4.1	8	-1
	This study	McMurdo	mc209b	mc209	mc209b2	mc209b2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	1.000e-02	T		A	u	0.1	349.1		l	-0.4	0.9	9	-1
	This study	McMurdo	mc209c	mc209	mc209c2	mc209c2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	1.000e-02	T		A	u	0.8	345.2		l	-4.2	0.7	9	-1
	This study	McMurdo	mc209e	mc209	mc209e2	mc209e2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	1.000e-02	T		A	u	0.3	341.6		l	-2.2	0.8	9	-1
	This study	McMurdo	mc209f	mc209	mc209f1	mc209f1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	1.000e-02	T		A	u	0.5	344.0		l	-6.2	0.8	9	-1
	This study	McMurdo	mc210a	mc210	mc210a2	mc210a2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.500e-01	5.000e-03	T		A	u	0.1	351.4		l	-11.8	1.0	12	-1
	This study	McMurdo	mc210b	mc210	mc210b1	mc210b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.730e+02	6.230e+02	K		A	u	90.0	260.5		p	-3.4	10.4	8	-1
	This study	McMurdo	mc210b	mc210	mc210b2	mc210b2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	5.000e-03	T		A	u	0.5	351.3		l	13.3	1.1	13	-1
	This study	McMurdo	mc210c	mc210	mc210c2	mc210c2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	5.000e-03	T		A	u	0.1	350.3		l	4.7	1.0	13	-1
	This study	McMurdo	mc210e	mc210	mc210e1	mc210e1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	5.000e-03	T		A	u	0.2	353.7		l	1.0	0.6	13	-1
	This study	McMurdo	mc210i	mc210	mc210i2	mc210i2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	5.000e-03	T		A	u	0.3	351.9		l	4.5	0.6	13	-1
	This study	McMurdo	mc211a	mc211	mc211a1	mc211a1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.500e-01	2.000e-02	T		A	u	0.5	26.2		l	-12.4	1.1	9	-1
	This study	McMurdo	mc211e	mc211	mc211e1	mc211e1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFL	pmagpy-2.154	8.730e+02	4.730e+02	K		A	u	2.3	2.1		l	-8.9	3.4	10	-1
	This study	McMurdo	mc211e	mc211	mc211e2	mc211e2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	2.000e-02	T		A	u	0.2	0.3		l	-8.9	0.8	10	-1
	This study	McMurdo	mc211g	mc211	mc211g1	mc211g1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFL	pmagpy-2.154	8.730e+02	3.730e+02	K		A	u	3.0	20.0		l	20.4	3.4	11	-1
	This study	McMurdo	mc211g	mc211	mc211g2	mc211g2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	2.000e-02	T		A	u	0.5	18.1		l	23.0	0.9	10	-1
	This study	McMurdo	mc211h	mc211	mc211h1	mc211h1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFL	pmagpy-2.154	8.730e+02	3.730e+02	K		A	u	2.7	15.5		l	25.3	2.9	11	-1
	This study	McMurdo	mc211i	mc211	mc211i1	mc211i1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFL	pmagpy-2.154	8.730e+02	3.730e+02	K		A	u	3.1	1.6		l	14.8	3.5	11	-1
	This study	McMurdo	mc212a	mc212	mc212a1	mc212a1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	1.500e-02	T		A	u	2.7	277.9		l	57.0	1.8	8	-1
	This study	McMurdo	mc212b	mc212	mc212b2	mc212b2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	1.500e-02	T		A	u	1.0	288.7		l	59.4	0.7	8	-1
	This study	McMurdo	mc212c	mc212	mc212c2	mc212c2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.200e-01	1.500e-02	T		A	u	3.6	323.9		l	56.3	1.9	9	-1
	This study	McMurdo	mc212d	mc212	mc212d2	mc212d2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.200e-01	1.500e-02	T		A	u	2.1	315.3		l	59.8	1.0	9	-1
	This study	McMurdo	mc212g	mc212	mc212g2	mc212g2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.200e-01	1.500e-02	T		A	u	2.7	236.6		l	68.4	1.8	9	-1
	This study	McMurdo	mc213e	mc213	mc213e2	mc213e2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	1.500e-02	T		A	u	2.3	158.0		l	13.5	1.4	11	-1
	This study	McMurdo	mc213f	mc213	mc213f2	mc213f2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	1.500e-02	T		A	u	0.9	164.8		l	-12.8	1.0	11	-1
	This study	McMurdo	mc213g	mc213	mc213g2	mc213g2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	1.500e-02	T		A	u	1.1	161.3		l	-17.1	1.4	11	-1
	This study	McMurdo	mc213h	mc213	mc213h2	mc213h2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	1.500e-02	T		A	u	1.4	160.8		l	-28.2	1.1	11	-1
	This study	McMurdo	mc213i	mc213	mc213i2	mc213i2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	1.500e-02	T		A	u	0.9	158.9		l	-4.3	0.8	11	-1
	This study	McMurdo	mc214a	mc214	mc214a2	mc214a2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	5.000e-03	T		A	u	0.1	179.7		l	35.6	0.8	13	-1
	This study	McMurdo	mc214b	mc214	mc214b1	mc214b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFL	pmagpy-2.154	8.730e+02	3.730e+02	K		A	u	0.6	178.2		l	48.7	2.0	11	-1
	This study	McMurdo	mc214b	mc214	mc214b2	mc214b2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	5.000e-03	T		A	u	0.6	179.2		l	48.7	0.8	13	-1
	This study	McMurdo	mc214d	mc214	mc214d1	mc214d1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFL	pmagpy-2.154	8.730e+02	4.730e+02	K		A	u	0.1	168.4		l	3.1	1.3	10	-1
	This study	McMurdo	mc214d	mc214	mc214d2	mc214d2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	5.000e-03	T		A	u	0.5	166.9		l	2.6	0.8	13	-1
	This study	McMurdo	mc214g	mc214	mc214g1	mc214g1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFL	pmagpy-2.154	8.730e+02	4.730e+02	K		A	u	0.2	166.8		l	-0.0	1.4	10	-1
	This study	McMurdo	mc214g	mc214	mc214g2	mc214g2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	5.000e-03	T		A	u	0.3	168.1		l	-1.0	0.9	13	-1
	This study	McMurdo	mc214h	mc214	mc214h1	mc214h1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFL	pmagpy-2.154	8.730e+02	3.730e+02	K		A	u	0.6	177.6		l	13.7	1.5	11	-1
	This study	McMurdo	mc214j	mc214	mc214j1	mc214j1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFL	pmagpy-2.154	8.730e+02	3.730e+02	K		A	u	0.1	173.5		l	12.9	2.7	11	-1
	This study	McMurdo	mc214j	mc214	mc214j2	mc214j2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	5.000e-03	T		A	u	0.0	174.2		l	11.0	0.8	13	-1
