tab delimited	er_locations
er_location_name	er_location_alternatives	location_type	location_begin_lat	location_begin_lon	location_end_lat	location_end_lon	continent_ocean	region	plate_block	tectonic_setting	er_citation_names
McMurdo	Mt Erebus Volcanic Province : McMurdo Sound	Outcrop	-77	160	-79	170	Antarctica	Antarctic Plate	Antarctic Plate	Continental Volcanics	This study
>>>>>>>>>>
tab delimited	er_sites
er_site_name	er_location_name	site_definition	site_class	site_lithology	site_type	site_lat	site_lon	er_citation_names
mc200	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.54995	166.16148	This study
mc201	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.56284	166.21958	This study
mc202	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.65674	166.36424	This study
mc203	McMurdo	s	Igneous : Intrusive	Basalt	Volcanic Dike	-77.5807	166.25055	This study
mc204	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.6402	166.40836	This study
mc205	McMurdo	s	Igneous : Intrusive	Basalt	Volcanic Dike	-77.65666	166.72515	This study
mc206	McMurdo	s	Igneous : Intrusive	Basalt	Volcanic Dome	-77.66665	166.78033	This study
mc207	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.67871	166.5173	This study
mc208	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.66786	166.53186	This study
mc209	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.68544	166.36812	This study
mc210	McMurdo	s	Igneous : Intrusive	Phonolite	Volcanic Dike	-77.69125	166.3743	This study
mc211	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.66147	166.3397	This study
mc212	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.56505	166.35938	This study
mc213	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.22331	166.42877	This study
mc214	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.22355	166.4294	This study
mc215	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.4773	166.89491	This study
mc216	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.42391	166.81075	This study
mc217	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.50885	167.44064	This study
mc218	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.56218	166.97756	This study
mc219	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.84783	166.67453	This study
mc220	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.45702	166.91009	This study
mc221	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.5161	166.79804	This study
mc222	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.53893	166.84845	This study
mc223	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.65831	166.7863	This study
mc224	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.53046	166.8839	This study
mc225	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.58053	166.80156	This study
mc226	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.61355	166.76571	This study
mc227	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.27064	166.73278	This study
mc228	McMurdo	s	Igneous : Extrusive	Trachyte	Lava Flow	-77.2669	166.37738	This study
mc229	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.48281	167.15435	This study
>>>>>>>>>>
tab delimited	er_samples
er_sample_name	er_location_name	er_site_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	sample_date	sample_orientation_flag	sample_azimuth	sample_dip	sample_bed_dip_direction	sample_bed_dip	magic_method_codes	er_citation_names
mc202f	McMurdo	mc202	Igneous : Extrusive	Phonolite	Lava Flow	-77.65674	166.36424	2006:11:27:00:00:00.00	g	172.1	-65	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc202h	McMurdo	mc202	Igneous : Extrusive	Phonolite	Lava Flow	-77.65674	166.36424	2006:11:27:00:00:00.00	g	177.1	-44	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc203a	McMurdo	mc203	Igneous : Intrusive	Basalt	Volcanic Dike	-77.5807	166.25055	2006:11:27:00:00:00.00	g	348.8	-70	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc203b	McMurdo	mc203	Igneous : Intrusive	Basalt	Volcanic Dike	-77.5807	166.25055	2006:11:27:00:00:00.00	g	349.1	-82	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc203c	McMurdo	mc203	Igneous : Intrusive	Basalt	Volcanic Dike	-77.5807	166.25055	2006:11:27:00:00:00.00	g	358.3	-85.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc203d	McMurdo	mc203	Igneous : Intrusive	Basalt	Volcanic Dike	-77.5807	166.25055	2006:11:27:00:00:00.00	g	347.7	-79	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc203g	McMurdo	mc203	Igneous : Intrusive	Basalt	Volcanic Dike	-77.5807	166.25055	2006:11:27:00:00:00.00	g	15.1	-78.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc203h	McMurdo	mc203	Igneous : Intrusive	Basalt	Volcanic Dike	-77.5807	166.25055	2006:11:27:00:00:00.00	g	9.7	-71	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc204a	McMurdo	mc204	Igneous : Extrusive	Phonolite	Lava Flow	-77.6402	166.40836	2006:11:28:00:00:00.00	g	42.5	-68.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc204b	McMurdo	mc204	Igneous : Extrusive	Phonolite	Lava Flow	-77.6402	166.40836	2006:11:28:00:00:00.00	g	40.3	-82	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc204c	McMurdo	mc204	Igneous : Extrusive	Phonolite	Lava Flow	-77.6402	166.40836	2006:11:28:00:00:00.00	g	31.3	-82	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc204h	McMurdo	mc204	Igneous : Extrusive	Phonolite	Lava Flow	-77.6402	166.40836	2006:11:28:00:00:00.00	g	74.3	-91.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc204k	McMurdo	mc204	Igneous : Extrusive	Phonolite	Lava Flow	-77.6402	166.40836	2006:11:28:00:00:00.00	g	79.9	-85	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc204l	McMurdo	mc204	Igneous : Extrusive	Phonolite	Lava Flow	-77.6402	166.40836	2006:11:28:00:00:00.00	g	81	-76	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc205a	McMurdo	mc205	Igneous : Intrusive	Basalt	Volcanic Dike	-77.65666	166.72515	2006:12:02:00:00:00.00	g	45.8	-62	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc205b	McMurdo	mc205	Igneous : Intrusive	Basalt	Volcanic Dike	-77.65666	166.72515	2006:12:02:00:00:00.00	g	44.2	-64	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc205c	McMurdo	mc205	Igneous : Intrusive	Basalt	Volcanic Dike	-77.65666	166.72515	2006:12:02:00:00:00.00	g	43.1	-58	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc205d	McMurdo	mc205	Igneous : Intrusive	Basalt	Volcanic Dike	-77.65666	166.72515	2006:12:02:00:00:00.00	g	47.1	-78	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc205e	McMurdo	mc205	Igneous : Intrusive	Basalt	Volcanic Dike	-77.65666	166.72515	2006:12:02:00:00:00.00	g	48	-80	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc205h	McMurdo	mc205	Igneous : Intrusive	Basalt	Volcanic Dike	-77.65666	166.72515	2006:12:02:00:00:00.00	g	43.1	-81	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc205i	McMurdo	mc205	Igneous : Intrusive	Basalt	Volcanic Dike	-77.65666	166.72515	2006:12:02:00:00:00.00	g	41.6	-87	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc205k	McMurdo	mc205	Igneous : Intrusive	Basalt	Volcanic Dike	-77.65666	166.72515	2006:12:02:00:00:00.00	g	44	-90	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc206a	McMurdo	mc206	Igneous : Intrusive	Basalt	Volcanic Dome	-77.66665	166.78033	2006:12:02:00:00:00.00	g	37.2	-82.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc206b	McMurdo	mc206	Igneous : Intrusive	Basalt	Volcanic Dome	-77.66665	166.78033	2006:12:02:00:00:00.00	g	50.7	-87	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc206c	McMurdo	mc206	Igneous : Intrusive	Basalt	Volcanic Dome	-77.66665	166.78033	2006:12:02:00:00:00.00	g	35	-84.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc206d	McMurdo	mc206	Igneous : Intrusive	Basalt	Volcanic Dome	-77.66665	166.78033	2006:12:02:00:00:00.00	g	9.9	-85	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc206e	McMurdo	mc206	Igneous : Intrusive	Basalt	Volcanic Dome	-77.66665	166.78033	2006:12:02:00:00:00.00	g	9.9	-88	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc206f	McMurdo	mc206	Igneous : Intrusive	Basalt	Volcanic Dome	-77.66665	166.78033	2006:12:02:00:00:00.00	g	49.2	-51	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc206g	McMurdo	mc206	Igneous : Intrusive	Basalt	Volcanic Dome	-77.66665	166.78033	2006:12:02:00:00:00.00	g	47.9	-54	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc206h	McMurdo	mc206	Igneous : Intrusive	Basalt	Volcanic Dome	-77.66665	166.78033	2006:12:02:00:00:00.00	g	58.4	-56	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc206i	McMurdo	mc206	Igneous : Intrusive	Basalt	Volcanic Dome	-77.66665	166.78033	2006:12:02:00:00:00.00	g	62.4	-63	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc206k	McMurdo	mc206	Igneous : Intrusive	Basalt	Volcanic Dome	-77.66665	166.78033	2006:12:02:00:00:00.00	g	46.8	-77	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc207a	McMurdo	mc207	Igneous : Extrusive	Basalt	Lava Flow	-77.67871	166.5173	2006:12:03:00:00:00.00	g	183	-81	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc207b	McMurdo	mc207	Igneous : Extrusive	Basalt	Lava Flow	-77.67871	166.5173	2006:12:03:00:00:00.00	g	187.3	-82	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc207d	McMurdo	mc207	Igneous : Extrusive	Basalt	Lava Flow	-77.67871	166.5173	2006:12:03:00:00:00.00	g	189.1	-78	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc207g	McMurdo	mc207	Igneous : Extrusive	Basalt	Lava Flow	-77.67871	166.5173	2006:12:03:00:00:00.00	g	175	-35	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc207h	McMurdo	mc207	Igneous : Extrusive	Basalt	Lava Flow	-77.67871	166.5173	2006:12:03:00:00:00.00	g	127.2	-62.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc207k	McMurdo	mc207	Igneous : Extrusive	Basalt	Lava Flow	-77.67871	166.5173	2006:12:03:00:00:00.00	g	127.4	-69	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc208a	McMurdo	mc208	Igneous : Extrusive	Basalt	Lava Flow	-77.66786	166.53186	2006:12:04:00:00:00.00	g	203	-77	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc208b	McMurdo	mc208	Igneous : Extrusive	Basalt	Lava Flow	-77.66786	166.53186	2006:12:04:00:00:00.00	g	206.6	-83	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc208c	McMurdo	mc208	Igneous : Extrusive	Basalt	Lava Flow	-77.66786	166.53186	2006:12:04:00:00:00.00	g	205.2	-79	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc208d	McMurdo	mc208	Igneous : Extrusive	Basalt	Lava Flow	-77.66786	166.53186	2006:12:04:00:00:00.00	g	198.4	-70.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc208e	McMurdo	mc208	Igneous : Extrusive	Basalt	Lava Flow	-77.66786	166.53186	2006:12:04:00:00:00.00	g	201.9	-69	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc208f	McMurdo	mc208	Igneous : Extrusive	Basalt	Lava Flow	-77.66786	166.53186	2006:12:04:00:00:00.00	g	181.8	-75.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc209a	McMurdo	mc209	Igneous : Extrusive	Basalt	Lava Flow	-77.68544	166.36812	2006:12:04:00:00:00.00	g	81.5	-64	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc209b	McMurdo	mc209	Igneous : Extrusive	Basalt	Lava Flow	-77.68544	166.36812	2006:12:04:00:00:00.00	g	84.5	-63.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc209c	McMurdo	mc209	Igneous : Extrusive	Basalt	Lava Flow	-77.68544	166.36812	2006:12:04:00:00:00.00	g	90.3	-63	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc209e	McMurdo	mc209	Igneous : Extrusive	Basalt	Lava Flow	-77.68544	166.36812	2006:12:04:00:00:00.00	g	98.1	-61	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc209f	McMurdo	mc209	Igneous : Extrusive	Basalt	Lava Flow	-77.68544	166.36812	2006:12:04:00:00:00.00	g	102.1	-61	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc210a	McMurdo	mc210	Igneous : Intrusive	Phonolite	Volcanic Dike	-77.69125	166.3743	2006:12:05:00:00:00.00	g	79.3	-61	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc210b	McMurdo	mc210	Igneous : Intrusive	Phonolite	Volcanic Dike	-77.69125	166.3743	2006:12:05:00:00:00.00	g	75.6	-84	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc210c	McMurdo	mc210	Igneous : Intrusive	Phonolite	Volcanic Dike	-77.69125	166.3743	2006:12:05:00:00:00.00	g	81.6	-77	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc210e	McMurdo	mc210	Igneous : Intrusive	Phonolite	Volcanic Dike	-77.69125	166.3743	2006:12:05:00:00:00.00	g	70.4	-71	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc210i	McMurdo	mc210	Igneous : Intrusive	Phonolite	Volcanic Dike	-77.69125	166.3743	2006:12:05:00:00:00.00	g	64.1	-74.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc211a	McMurdo	mc211	Igneous : Extrusive	Phonolite	Lava Flow	-77.66147	166.3397	2006:12:05:00:00:00.00	g	312.9	-51	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc211b	McMurdo	mc211	Igneous : Extrusive	Phonolite	Lava Flow	-77.66147	166.3397	2006:12:05:00:00:00.00	g	310.7	-57	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc211e	McMurdo	mc211	Igneous : Extrusive	Phonolite	Lava Flow	-77.66147	166.3397	2006:12:05:00:00:00.00	g	357.2	-48.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc211g	McMurdo	mc211	Igneous : Extrusive	Phonolite	Lava Flow	-77.66147	166.3397	2006:12:05:00:00:00.00	g	337.2	-83.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc211h	McMurdo	mc211	Igneous : Extrusive	Phonolite	Lava Flow	-77.66147	166.3397	2006:12:05:00:00:00.00	g	345.2	-84	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc211i	McMurdo	mc211	Igneous : Extrusive	Phonolite	Lava Flow	-77.66147	166.3397	2006:12:05:00:00:00.00	g	1.2	-69	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc212a	McMurdo	mc212	Igneous : Extrusive	Basalt	Lava Flow	-77.56505	166.35938	2006:12:07:00:00:00.00	g	78.6	-62.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc212b	McMurdo	mc212	Igneous : Extrusive	Basalt	Lava Flow	-77.56505	166.35938	2006:12:07:00:00:00.00	g	73.5	-57	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc212c	McMurdo	mc212	Igneous : Extrusive	Basalt	Lava Flow	-77.56505	166.35938	2006:12:07:00:00:00.00	g	64	-42	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc212d	McMurdo	mc212	Igneous : Extrusive	Basalt	Lava Flow	-77.56505	166.35938	2006:12:07:00:00:00.00	g	63.4	-49	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc212g	McMurdo	mc212	Igneous : Extrusive	Basalt	Lava Flow	-77.56505	166.35938	2006:12:07:00:00:00.00	g	65.4	-79	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc213b	McMurdo	mc213	Igneous : Extrusive	Basalt	Lava Flow	-77.22331	166.42877	2006:12:08:00:00:00.00	g	78.3	-69	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc213e	McMurdo	mc213	Igneous : Extrusive	Basalt	Lava Flow	-77.22331	166.42877	2006:12:08:00:00:00.00	g	74	-74.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc213f	McMurdo	mc213	Igneous : Extrusive	Basalt	Lava Flow	-77.22331	166.42877	2006:12:08:00:00:00.00	g	66.5	-96.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc213g	McMurdo	mc213	Igneous : Extrusive	Basalt	Lava Flow	-77.22331	166.42877	2006:12:08:00:00:00.00	g	74.6	-98	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc213h	McMurdo	mc213	Igneous : Extrusive	Basalt	Lava Flow	-77.22331	166.42877	2006:12:08:00:00:00.00	g	78.3	-112	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc213i	McMurdo	mc213	Igneous : Extrusive	Basalt	Lava Flow	-77.22331	166.42877	2006:12:08:00:00:00.00	g	69.2	-89	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc214a	McMurdo	mc214	Igneous : Extrusive	Basalt	Lava Flow	-77.22355	166.4294	2006:12:08:00:00:00.00	g	182.6	-66.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc214b	McMurdo	mc214	Igneous : Extrusive	Basalt	Lava Flow	-77.22355	166.4294	2006:12:08:00:00:00.00	g	180.2	-53	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc214d	McMurdo	mc214	Igneous : Extrusive	Basalt	Lava Flow	-77.22355	166.4294	2006:12:08:00:00:00.00	g	94.9	-90	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc214g	McMurdo	mc214	Igneous : Extrusive	Basalt	Lava Flow	-77.22355	166.4294	2006:12:08:00:00:00.00	g	111	-96.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc214h	McMurdo	mc214	Igneous : Extrusive	Basalt	Lava Flow	-77.22355	166.4294	2006:12:08:00:00:00.00	g	162.7	-87	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
