tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_expedition_name	er_formation_name	er_fossil_name	er_location_name	er_member_name	er_mineral_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_charging_mode	measurement_chi_mass	measurement_chi_qdr_mass	measurement_chi_qdr_volume	measurement_chi_volume	measurement_composite_depth	measurement_core_depth	measurement_csd	measurement_date	measurement_dec	measurement_demagn_code	measurement_description	measurement_elevation	measurement_flag	measurement_freq	measurement_height	measurement_inc	measurement_lab_field_ac	measurement_lab_field_dc	measurement_loop_n	measurement_loop_x	measurement_magn_mass	measurement_magn_moment	measurement_magn_volume	measurement_magnitude	measurement_number	measurement_orient_phi	measurement_orient_theta	measurement_pos_x	measurement_pos_y	measurement_pos_z	measurement_positions	measurement_r2	measurement_sd	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_sweep_rate	measurement_temp	measurement_temp_change	measurement_time_zone	treatment_ac_field	treatment_ac_field_dc_off	treatment_ac_field_dc_on	treatment_ac_field_decay_rate	treatment_dc_field	treatment_dc_field_ac_off	treatment_dc_field_ac_on	treatment_dc_field_decay_rate	treatment_dc_field_phi	treatment_dc_field_theta	treatment_mw_energy	treatment_mw_integral	treatment_mw_power	treatment_mw_time	treatment_temp	treatment_temp_dc_off	treatment_temp_dc_on	treatment_temp_decay_rate
	This study				DSDP Site 522			15-1-097	15-1-097	15-1-097		15-1-097-LP-ARM		LT-AF-I															g								0.000154				102												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-097	15-1-097	15-1-097		15-1-097-LP-IRM		LT-IRM															g								0.0029				103												u		300			0				1										300			
	This study				DSDP Site 522			15-1-097	15-1-097	15-1-097		15-1-097-LP-X		LP-X			0.000000192												g												104												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-100	15-1-100	15-1-100		15-1-100-LP-AF-DIR		LT-AF-Z											16.4				g			-47.7					0.0000054				105												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-100	15-1-100	15-1-100		15-1-100-LP-ARM		LT-AF-I															g								0.000149				106												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-100	15-1-100	15-1-100		15-1-100-LP-IRM		LT-IRM															g								0.00278				107												u		300			0				1										300			
	This study				DSDP Site 522			15-1-100	15-1-100	15-1-100		15-1-100-LP-X		LP-X			0.000000191												g												108												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-103	15-1-103	15-1-103		15-1-103-LP-AF-DIR		LT-AF-Z											17.6				g			-32.3					0.00000457				109												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-103	15-1-103	15-1-103		15-1-103-LP-ARM		LT-AF-I															g								0.000176				110												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-103	15-1-103	15-1-103		15-1-103-LP-IRM		LT-IRM															g								0.0033				111												u		300			0				1										300			
	This study				DSDP Site 522			15-1-103	15-1-103	15-1-103		15-1-103-LP-X		LP-X			0.000000219												g												112												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-106	15-1-106	15-1-106		15-1-106-LP-AF-DIR		LT-AF-Z											7.6				g			-10.5					0.0000018				113												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-106	15-1-106	15-1-106		15-1-106-LP-ARM		LT-AF-I															g								0.000185				114												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-106	15-1-106	15-1-106		15-1-106-LP-IRM		LT-IRM															g								0.00344				115												u		300			0				1										300			
	This study				DSDP Site 522			15-1-106	15-1-106	15-1-106		15-1-106-LP-X		LP-X			0.00000023												g												116												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-109	15-1-109	15-1-109		15-1-109-LP-AF-DIR		LT-AF-Z											15.7				g			22.6					0.00000146				117												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-109	15-1-109	15-1-109		15-1-109-LP-ARM		LT-AF-I															g								0.000171				118												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-109	15-1-109	15-1-109		15-1-109-LP-IRM		LT-IRM															g								0.00332				119												u		300			0				1										300			
	This study				DSDP Site 522			15-1-109	15-1-109	15-1-109		15-1-109-LP-X		LP-X			0.000000221												g												120												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-113	15-1-113	15-1-113		15-1-113-LP-AF-DIR		LT-AF-Z											56.8				g			72.8					0.00000185				121												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-113	15-1-113	15-1-113		15-1-113-LP-ARM		LT-AF-I															g								0.000156				122												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-113	15-1-113	15-1-113		15-1-113-LP-IRM		LT-IRM															g								0.0031				123												u		300			0				1										300			
	This study				DSDP Site 522			15-1-113	15-1-113	15-1-113		15-1-113-LP-X		LP-X			0.000000208												g												124												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-115	15-1-115	15-1-115		15-1-115-LP-AF-DIR		LT-AF-Z											344.2				g			-11.9					0.00000162				125												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-115	15-1-115	15-1-115		15-1-115-LP-ARM		LT-AF-I															g								0.000184				126												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-115	15-1-115	15-1-115		15-1-115-LP-IRM		LT-IRM															g								0.0033				127												u		300			0				1										300			
	This study				DSDP Site 522			15-1-115	15-1-115	15-1-115		15-1-115-LP-X		LP-X			0.00000023												g												128												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-118	15-1-118	15-1-118		15-1-118-LP-AF-DIR		LT-AF-Z											3.2				g			66					0.00000143				129												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-118	15-1-118	15-1-118		15-1-118-LP-ARM		LT-AF-I															g								0.000169				130												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-118	15-1-118	15-1-118		15-1-118-LP-IRM		LT-IRM															g								0.00307				131												u		300			0				1										300			
	This study				DSDP Site 522			15-1-118	15-1-118	15-1-118		15-1-118-LP-X		LP-X			0.000000206												g												132												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-122	15-1-122	15-1-122		15-1-122-LP-AF-DIR		LT-AF-Z											172.6				g			76.8					0.00000387				133												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-122	15-1-122	15-1-122		15-1-122-LP-ARM		LT-AF-I															g								0.000161				134												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-122	15-1-122	15-1-122		15-1-122-LP-IRM		LT-IRM															g								0.00306				135												u		300			0				1										300			
	This study				DSDP Site 522			15-1-122	15-1-122	15-1-122		15-1-122-LP-X		LP-X			0.000000203												g												136												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-125	15-1-125	15-1-125		15-1-125-LP-AF-DIR		LT-AF-Z											179				g			58.9					0.00000648				137												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-125	15-1-125	15-1-125		15-1-125-LP-ARM		LT-AF-I															g								0.000164				138												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-125	15-1-125	15-1-125		15-1-125-LP-IRM		LT-IRM															g								0.00306				139												u		300			0				1										300			
	This study				DSDP Site 522			15-1-125	15-1-125	15-1-125		15-1-125-LP-X		LP-X			0.000000205												g												140												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-128	15-1-128	15-1-128		15-1-128-LP-AF-DIR		LT-AF-Z											165.7				g			65.2					0.00000395				141												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-128	15-1-128	15-1-128		15-1-128-LP-ARM		LT-AF-I															g								0.00015				142												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-128	15-1-128	15-1-128		15-1-128-LP-IRM		LT-IRM															g								0.00275				143												u		300			0				1										300			
	This study				DSDP Site 522			15-1-128	15-1-128	15-1-128		15-1-128-LP-X		LP-X			0.00000018												g												144												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-131	15-1-131	15-1-131		15-1-131-LP-AF-DIR		LT-AF-Z											114.4				g			72					0.00000278				145												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-131	15-1-131	15-1-131		15-1-131-LP-ARM		LT-AF-I															g								0.000136				146												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-131	15-1-131	15-1-131		15-1-131-LP-IRM		LT-IRM															g								0.00253				147												u		300			0				1										300			
	This study				DSDP Site 522			15-1-131	15-1-131	15-1-131		15-1-131-LP-X		LP-X			0.00000017												g												148												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-134	15-1-134	15-1-134		15-1-134-LP-AF-DIR		LT-AF-Z											171.8				g			72.7					0.00000342				149												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-134	15-1-134	15-1-134		15-1-134-LP-ARM		LT-AF-I															g								0.000134				150												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-134	15-1-134	15-1-134		15-1-134-LP-IRM		LT-IRM															g								0.00251				151												u		300			0				1										300			
	This study				DSDP Site 522			15-1-134	15-1-134	15-1-134		15-1-134-LP-X		LP-X			0.000000165												g												152												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-137	15-1-137	15-1-137		15-1-137-LP-AF-DIR		LT-AF-Z											189.5				g			73.2					0.0000033				153												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-137	15-1-137	15-1-137		15-1-137-LP-ARM		LT-AF-I															g								0.000147				154												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-137	15-1-137	15-1-137		15-1-137-LP-IRM		LT-IRM															g								0.00264				155												u		300			0				1										300			
	This study				DSDP Site 522			15-1-137	15-1-137	15-1-137		15-1-137-LP-X		LP-X			0.000000175												g												156												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-140	15-1-140	15-1-140		15-1-140-LP-AF-DIR		LT-AF-Z											155.8				g			89.1					0.00000249				157												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-140	15-1-140	15-1-140		15-1-140-LP-ARM		LT-AF-I															g								0.000157				158												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-140	15-1-140	15-1-140		15-1-140-LP-IRM		LT-IRM															g								0.00288				159												u		300			0				1										300			
	This study				DSDP Site 522			15-1-140	15-1-140	15-1-140		15-1-140-LP-X		LP-X			0.000000197												g												160												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-144	15-1-144	15-1-144		15-1-144-LP-AF-DIR		LT-AF-Z											198.6				g			72.3					0.00000252				161												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-144	15-1-144	15-1-144		15-1-144-LP-ARM		LT-AF-I															g								0.000147				162												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-144	15-1-144	15-1-144		15-1-144-LP-IRM		LT-IRM															g								0.00261				163												u		300			0				1										300			
	This study				DSDP Site 522			15-1-144	15-1-144	15-1-144		15-1-144-LP-X		LP-X			0.000000175												g												164												u		300			0.01				0										300			
